checkpoint,overall_macro_f1,worst_class_acc,worst_group_f1
checkpoint-73,0.7797089576071344,0.0,0.09876543209876543
checkpoint-146,0.7758211614730363,0.0,0.09876543209876543
checkpoint-219,0.7894632854021735,0.0,0.09876543209876543
checkpoint-292,0.8029406516573175,0.0,0.09876543209876543
checkpoint-365,0.7739907236948861,0.0,0.09876543209876543
checkpoint-438,0.7836224632303064,0.0,0.09876543209876543
checkpoint-511,0.7946286410887597,0.0,0.09876543209876543
checkpoint-576,0.800220744429445,0.0,0.09876543209876543
