cohort,arm,cell_type,n,probe_recall
aida,P2BA,CD141-positive myeloid dendritic cell,1,1.0
aida,P2BA,"CD16-negative, CD56-bright natural killer cell, human",13,1.0
aida,P2BA,"CD16-positive, CD56-dim natural killer cell, human",338,0.9792899408284024
aida,P2BA,CD1c-positive myeloid dendritic cell,28,0.8928571428571429
aida,P2BA,"CD4-positive, alpha-beta T cell",80,0.3125
aida,P2BA,"CD4-positive, alpha-beta cytotoxic T cell",22,0.8636363636363636
aida,P2BA,"CD8-positive, alpha-beta T cell",124,0.7096774193548387
aida,P2BA,"CD8-positive, alpha-beta cytotoxic T cell",110,0.7636363636363637
aida,P2BA,"CD8-positive, alpha-beta memory T cell",58,0.8103448275862069
aida,P2BA,T cell,120,0.825
aida,P2BA,"central memory CD4-positive, alpha-beta T cell",246,0.8943089430894309
aida,P2BA,"effector memory CD4-positive, alpha-beta T cell",53,0.8113207547169812
aida,P2BA,gamma-delta T cell,71,0.971830985915493
aida,P2BA,innate lymphoid cell,1,1.0
aida,P2BA,mature B cell,11,0.9090909090909091
aida,P2BA,memory B cell,69,0.9565217391304348
aida,P2BA,mucosal invariant T cell,52,0.9423076923076923
aida,P2BA,myeloid cell,56,0.7321428571428571
aida,P2BA,naive B cell,66,1.0
aida,P2BA,"naive thymus-derived CD4-positive, alpha-beta T cell",322,0.9596273291925466
aida,P2BA,"naive thymus-derived CD8-positive, alpha-beta T cell",187,0.9732620320855615
aida,P2BA,natural killer cell,52,0.7115384615384616
aida,P2BA,plasma cell,3,1.0
aida,P2BA,plasmacytoid dendritic cell,5,1.0
aida,P2BA,platelet,39,1.0
aida,P2BA,pre-conventional dendritic cell,2,0.0
aida,P2BA,regulatory T cell,33,0.8484848484848485
