group,n_cells,n_donors,accuracy,macro_f1,macro_f1_common,ci_low,ci_high
singaporean malay,1131,61,0.8638373121131742,0.7458475318446653,0.5397701149425288,0.41394642857142855,0.6556813725490196
japanese,3043,148,0.8849819257311863,0.672590584240555,0.6128326538874206,0.49566460676515023,0.700763871686132
singaporean indian,1248,70,0.8846153846153846,0.6959871865329194,0.6491176470588236,0.48670187165775397,0.7459597902097902
singaporean chinese,1387,84,0.8767123287671232,0.7358231740196586,0.6822751322751323,0.5034174710910005,0.7597515527950313
korean,3896,165,0.8670431211498973,0.6923210368670263,0.78528792627172,0.7449867201718869,0.8218157650865575
thai,1336,59,0.8667664670658682,0.6837725651325932,0.7887898686679173,0.5667837905108483,0.8350749437883944
indian,459,30,0.8583877995642701,0.25087808633949876,0.9031611108221955,0.8685852108998604,0.9315795139225382
