group,n_cells,n_donors,accuracy,macro_f1,macro_f1_common,ci_low,ci_high
hispanic or latin,1111,2,0.9801980198019802,0.8577600411464261,0.8577600411464261,0.7353672443861926,1.0
african american,386,3,0.9559585492227979,0.9048865337458485,0.9048865337458485,0.5162509448223733,0.9048951014610781
asian,619,2,0.9693053311793215,0.9057432288355982,0.9057432288355982,0.1111111111111111,0.9057432288355982
european american,6456,18,0.9484200743494424,0.9227551967786513,0.9227551967786513,0.8593472688162282,0.9380819776420364
