cell_type,coarse_label
BEST4+ colonocyte,BEST4+ colonocyte
colon goblet cell,colon goblet cell
colonocyte,colonocyte
early colonocyte,early colonocyte
enteroendocrine cell of colon,enteroendocrine cell of colon
intestinal crypt stem cell of colon,intestinal crypt stem cell of colon
malignant cell,malignant cell
secretory cell,secretory cell
tuft cell of colon,tuft cell of colon
