group,n_cells,n_donors,accuracy,macro_f1,macro_f1_common,ci_low,ci_high
hispanic or latin,2500,4,0.8728,0.708920123814799,0.7543037533576569,0.5847258008073286,0.7945616152374311
native american,2500,1,0.8612,0.7228036555086621,0.7736041323141398,0.7736041323141398,0.7736041323141398
african american,2500,11,0.9052,0.7404742756987683,0.7952353375767407,0.7076683339246307,0.841240898157136
european american,2499,77,0.8599439775910365,0.7872712474972899,0.8188933921562515,0.7830770729322455,0.8422516913510671
asian,2499,1,0.9079631852741097,0.7938725513007939,0.8349225730026744,0.8349225730026744,0.8349225730026744
