cohort,arm,probe_celltype_acc,probe_celltype_macro_f1,balanced_probe_worst_group,balanced_probe_worst_group_f1,n_train,n_test
ild,pretrained,0.9211111111111111,0.8207998408836035,hispanic or latin,0.830293081374539,6300,2700
ild,P,0.9237037037037037,0.8247587049074075,hispanic or latin,0.8412677721061497,6300,2700
ild,B,0.9248148148148149,0.8339863371692497,hispanic or latin,0.8393305311411262,6300,2700
ild,P2BA,0.9233333333333333,0.8273787952723525,hispanic or latin,0.8609936692738769,6300,2700
