cohort,arm,probe_celltype_acc,probe_celltype_macro_f1,balanced_probe_worst_group,balanced_probe_worst_group_f1,n_train,n_test
aida,pretrained,0.8781481481481481,0.7916534897779346,singaporean malay,0.6047619047619047,6299,2700
aida,P,0.89,0.8138356469053513,korean,0.7318518518518518,6299,2700
aida,B,0.8907407407407407,0.8156581966409339,singaporean malay,0.6766666666666666,6299,2700
aida,P2BA,0.8896296296296297,0.8138931528271338,singaporean chinese,0.6466666666666667,6299,2700
