arm,cell_type,n_cells,accuracy,f1
P2BA,double negative T regulatory cell,3,0.0,0.0
P2BA,"effector memory CD4-positive, alpha-beta T cell",233,0.6952789699570815,0.48
P2BA,gamma-delta T cell,320,0.903125,0.7467700258397932
P2BA,hematopoietic stem cell,2,0.0,0.0
P2BA,innate lymphoid cell,6,0.3333333333333333,0.4
P2BA,mature B cell,51,0.5490196078431373,0.6363636363636364
P2BA,memory B cell,338,0.9467455621301775,0.8913649025069638
P2BA,mucosal invariant T cell,219,0.726027397260274,0.7989949748743719
P2BA,myeloid cell,263,0.49429657794676807,0.5676855895196506
P2BA,naive B cell,335,0.9522388059701492,0.9075391180654339
P2BA,"naive thymus-derived CD4-positive, alpha-beta T cell",1525,0.8518032786885246,0.8446033810143043
P2BA,"naive thymus-derived CD8-positive, alpha-beta T cell",851,0.9318448883666275,0.8728673637864612
P2BA,natural killer cell,235,0.32340425531914896,0.44970414201183434
P2BA,plasma cell,18,1.0,1.0
P2BA,plasmacytoid dendritic cell,30,1.0,0.967741935483871
P2BA,platelet,178,0.9831460674157303,0.9915014164305949
P2BA,pre-conventional dendritic cell,7,0.14285714285714285,0.2222222222222222
P2BA,regulatory T cell,157,0.37579617834394907,0.4738955823293173
P2BJ,B cell,107,0.3177570093457944,0.4594594594594595
P2BJ,"CD14-low, CD16-positive monocyte",423,0.9574468085106383,0.9225512528473804
P2BJ,CD14-positive monocyte,1932,0.9032091097308489,0.9247482776894541
P2BJ,CD141-positive myeloid dendritic cell,5,0.8,0.8
P2BJ,"CD16-negative, CD56-bright natural killer cell, human",63,0.9206349206349206,0.6823529411764706
P2BJ,"CD16-positive, CD56-dim natural killer cell, human",1576,0.7341370558375635,0.8231945926716471
P2BJ,CD1c-positive myeloid dendritic cell,131,0.6641221374045801,0.58
P2BJ,"CD4-positive, alpha-beta T cell",361,0.5041551246537396,0.208955223880597
P2BJ,"CD4-positive, alpha-beta cytotoxic T cell",102,0.4411764705882353,0.47368421052631576
P2BJ,"CD8-positive, alpha-beta T cell",579,0.3316062176165803,0.4037854889589905
P2BJ,"CD8-positive, alpha-beta cytotoxic T cell",493,0.7647058823529411,0.6678476527900797
P2BJ,"CD8-positive, alpha-beta memory T cell",263,0.5741444866920152,0.607645875251509
P2BJ,T cell,564,0.2783687943262411,0.3979721166032953
P2BJ,"central memory CD4-positive, alpha-beta T cell",1130,0.5964601769911504,0.6566000974184121
P2BJ,double negative T regulatory cell,3,0.0,0.0
P2BJ,"effector memory CD4-positive, alpha-beta T cell",233,0.6266094420600858,0.5251798561151079
P2BJ,gamma-delta T cell,320,0.78125,0.7587253414264037
P2BJ,hematopoietic stem cell,2,0.5,0.6666666666666666
P2BJ,innate lymphoid cell,6,0.6666666666666666,0.38095238095238093
P2BJ,mature B cell,51,0.35294117647058826,0.4864864864864865
P2BJ,memory B cell,338,0.9556213017751479,0.8959778085991679
P2BJ,mucosal invariant T cell,219,0.8721461187214612,0.8451327433628318
P2BJ,myeloid cell,263,0.5171102661596958,0.5386138613861386
P2BJ,naive B cell,335,0.9582089552238806,0.8929068150208623
P2BJ,"naive thymus-derived CD4-positive, alpha-beta T cell",1525,0.5081967213114754,0.6461025427261359
P2BJ,"naive thymus-derived CD8-positive, alpha-beta T cell",851,0.9200940070505288,0.8743718592964824
P2BJ,natural killer cell,235,0.7191489361702128,0.38496583143507973
P2BJ,plasma cell,18,0.9444444444444444,0.9714285714285714
P2BJ,plasmacytoid dendritic cell,30,1.0,0.9523809523809523
P2BJ,platelet,178,1.0,0.9916434540389972
P2BJ,pre-conventional dendritic cell,7,0.7142857142857143,0.18867924528301888
P2BJ,regulatory T cell,157,0.4140127388535032,0.49429657794676807
P2BU,B cell,107,0.4485981308411215,0.4682926829268293
P2BU,"CD14-low, CD16-positive monocyte",423,0.900709219858156,0.927007299270073
P2BU,CD14-positive monocyte,1932,0.9591097308488613,0.9432425553575974
P2BU,CD141-positive myeloid dendritic cell,5,0.6,0.75
P2BU,"CD16-negative, CD56-bright natural killer cell, human",63,0.5873015873015873,0.6548672566371682
P2BU,"CD16-positive, CD56-dim natural killer cell, human",1576,0.9511421319796954,0.9193498926709598
P2BU,CD1c-positive myeloid dendritic cell,131,0.9083969465648855,0.7677419354838709
P2BU,"CD4-positive, alpha-beta T cell",361,0.0664819944598338,0.10666666666666667
P2BU,"CD4-positive, alpha-beta cytotoxic T cell",102,0.27450980392156865,0.3660130718954248
P2BU,"CD8-positive, alpha-beta T cell",579,0.26770293609671847,0.3510758776896942
P2BU,"CD8-positive, alpha-beta cytotoxic T cell",493,0.6876267748478702,0.6773226773226774
P2BU,"CD8-positive, alpha-beta memory T cell",263,0.7984790874524715,0.5461638491547465
P2BU,T cell,564,0.35638297872340424,0.4860943168077388
P2BU,"central memory CD4-positive, alpha-beta T cell",1130,0.6486725663716815,0.6911834040546911
P2BU,double negative T regulatory cell,3,0.0,0.0
P2BU,"effector memory CD4-positive, alpha-beta T cell",233,0.26180257510729615,0.3609467455621302
P2BU,gamma-delta T cell,320,0.95625,0.6986301369863014
P2BU,hematopoietic stem cell,2,0.0,0.0
P2BU,innate lymphoid cell,6,0.16666666666666666,0.25
P2BU,mature B cell,51,0.8235294117647058,0.358974358974359
P2BU,memory B cell,338,0.6834319526627219,0.7764705882352941
P2BU,mucosal invariant T cell,219,0.8493150684931506,0.8340807174887892
P2BU,myeloid cell,263,0.4828897338403042,0.5733634311512416
P2BU,naive B cell,335,0.817910447761194,0.8589341692789969
P2BU,"naive thymus-derived CD4-positive, alpha-beta T cell",1525,0.8216393442622951,0.764490543014033
P2BU,"naive thymus-derived CD8-positive, alpha-beta T cell",851,0.9623971797884842,0.8076923076923077
P2BU,natural killer cell,235,0.4723404255319149,0.4693446088794926
P2BU,plasma cell,18,0.5,0.6666666666666666
P2BU,plasmacytoid dendritic cell,30,1.0,0.967741935483871
P2BU,platelet,178,1.0,0.9916434540389972
P2BU,pre-conventional dendritic cell,7,0.0,0.0
P2BU,regulatory T cell,157,0.5159235668789809,0.4909090909090909
P2DS,B cell,107,0.27102803738317754,0.4
P2DS,"CD14-low, CD16-positive monocyte",423,0.8581560283687943,0.9097744360902256
P2DS,CD14-positive monocyte,1932,0.9368530020703933,0.9237050267925491
P2DS,CD141-positive myeloid dendritic cell,5,0.0,0.0
P2DS,"CD16-negative, CD56-bright natural killer cell, human",63,0.8412698412698413,0.7114093959731543
P2DS,"CD16-positive, CD56-dim natural killer cell, human",1576,0.8946700507614214,0.9035565523870555
P2DS,CD1c-positive myeloid dendritic cell,131,0.7862595419847328,0.8273092369477911
P2DS,"CD4-positive, alpha-beta T cell",361,0.18282548476454294,0.2160392798690671
