group,n_cells,n_donors,accuracy,macro_f1,macro_f1_common,ci_low,ci_high
native american,2500,1,0.9016,0.81778992459771,0.8019455702149024,0.8019455702149024,0.8019455702149024
hispanic or latin,2500,4,0.886,0.7875890131515092,0.8166191280497569,0.6835955127004247,0.8390062394609746
african american,2500,11,0.9284,0.8243763936458626,0.8365664221917009,0.7414037039538216,0.8753932746173585
european american,2499,77,0.8827531012404962,0.858896387665097,0.851122181356424,0.8228773206471003,0.8746691076981088
asian,2499,1,0.921968787515006,0.8405388561147611,0.8618466405925077,0.8618466405925077,0.8618466405925077
