## SLURM PROLOG ###############################################################
##    Job ID : 4844375
##  Job Name : bibm_ft
##  Nodelist : gpu3002
##      CPUs : 6
##  Mem/Node : 65536 MB
## Directory : /oscar/data/rsingh47/fperalta
##   Job Started : Wed Aug 12 05:55:55 PM EDT 2026
###############################################################################
arm=proportional train=250,000 val=148,029 labels=45 val_donors=246
{'loss': 0.7468, 'grad_norm': 115547.859375, 'learning_rate': 2.6478494623655913e-05, 'epoch': 1.88}
{'loss': 1.0104, 'grad_norm': 1712203.75, 'learning_rate': 2.5998463901689707e-05, 'epoch': 1.92}
{'loss': 0.6931, 'grad_norm': 127842.3671875, 'learning_rate': 2.5518433179723505e-05, 'epoch': 1.96}
{'loss': 1.033, 'grad_norm': 4983753.0, 'learning_rate': 2.50384024577573e-05, 'epoch': 2.0}
{'eval_loss': 1.720619559288025, 'eval_accuracy': 0.5091333333333333, 'eval_macro_f1': 0.2914602889616747, 'eval_runtime': 1209.9127, 'eval_samples_per_second': 24.795, 'eval_steps_per_second': 0.259, 'epoch': 2.0}
{'loss': 1.5955, 'grad_norm': 1042503.375, 'learning_rate': 2.4558371735791093e-05, 'epoch': 2.03}
{'loss': 3.0136, 'grad_norm': 2456704.75, 'learning_rate': 2.4078341013824887e-05, 'epoch': 2.07}
{'loss': 3.0592, 'grad_norm': 13356072.0, 'learning_rate': 2.359831029185868e-05, 'epoch': 2.11}
{'loss': 2.6519, 'grad_norm': 126659.3125, 'learning_rate': 2.3118279569892472e-05, 'epoch': 2.15}
{'loss': 1.5125, 'grad_norm': 502793.5, 'learning_rate': 2.263824884792627e-05, 'epoch': 2.19}
{'loss': 2.3903, 'grad_norm': 93113.234375, 'learning_rate': 2.215821812596006e-05, 'epoch': 2.23}
{'loss': 1.8027, 'grad_norm': 1114701.5, 'learning_rate': 2.1678187403993858e-05, 'epoch': 2.27}
{'loss': 1.7824, 'grad_norm': 199433.21875, 'learning_rate': 2.1198156682027652e-05, 'epoch': 2.3}
{'loss': 1.699, 'grad_norm': 242831.328125, 'learning_rate': 2.0718125960061443e-05, 'epoch': 2.34}
{'loss': 0.9164, 'grad_norm': 2681967.75, 'learning_rate': 2.023809523809524e-05, 'epoch': 2.38}
{'loss': 1.0915, 'grad_norm': 114657.8125, 'learning_rate': 1.975806451612903e-05, 'epoch': 2.42}
{'loss': 0.9067, 'grad_norm': 65935.1875, 'learning_rate': 1.927803379416283e-05, 'epoch': 2.46}
{'loss': 0.9728, 'grad_norm': 214535.53125, 'learning_rate': 1.879800307219662e-05, 'epoch': 2.5}
{'loss': 1.3236, 'grad_norm': 23963.283203125, 'learning_rate': 1.8317972350230417e-05, 'epoch': 2.53}
{'loss': 0.7156, 'grad_norm': 8118139.5, 'learning_rate': 1.783794162826421e-05, 'epoch': 2.57}
{'loss': 0.7649, 'grad_norm': 15190.58203125, 'learning_rate': 1.7357910906298002e-05, 'epoch': 2.61}
{'loss': 0.8754, 'grad_norm': 23.6485595703125, 'learning_rate': 1.68778801843318e-05, 'epoch': 2.65}
{'loss': 0.8073, 'grad_norm': 53801.26171875, 'learning_rate': 1.639784946236559e-05, 'epoch': 2.69}
{'loss': 0.9452, 'grad_norm': 264260.90625, 'learning_rate': 1.5917818740399388e-05, 'epoch': 2.73}
{'loss': 0.6998, 'grad_norm': 31553.13671875, 'learning_rate': 1.543778801843318e-05, 'epoch': 2.76}
{'loss': 0.8087, 'grad_norm': 16484255.0, 'learning_rate': 1.4957757296466976e-05, 'epoch': 2.8}
{'loss': 2.8415, 'grad_norm': 509841.875, 'learning_rate': 1.4477726574500769e-05, 'epoch': 2.84}
{'loss': 2.2132, 'grad_norm': 406489.9375, 'learning_rate': 1.3997695852534561e-05, 'epoch': 2.88}
{'loss': 1.1761, 'grad_norm': 42869.58984375, 'learning_rate': 1.3517665130568357e-05, 'epoch': 2.92}
{'loss': 3.809, 'grad_norm': 56.10791015625, 'learning_rate': 1.3037634408602151e-05, 'epoch': 2.96}
{'loss': 3.6117, 'grad_norm': 732.6798706054688, 'learning_rate': 1.2557603686635947e-05, 'epoch': 2.99}
{'eval_loss': 3.6390128135681152, 'eval_accuracy': 0.13853333333333334, 'eval_macro_f1': 0.005530773243620181, 'eval_runtime': 1204.7767, 'eval_samples_per_second': 24.901, 'eval_steps_per_second': 0.26, 'epoch': 3.0}
{'loss': 3.5842, 'grad_norm': 245.08123779296875, 'learning_rate': 1.207757296466974e-05, 'epoch': 3.03}
{'loss': 3.4389, 'grad_norm': 468.6478576660156, 'learning_rate': 1.1597542242703534e-05, 'epoch': 3.07}
{'loss': 3.5082, 'grad_norm': 22563.9921875, 'learning_rate': 1.1117511520737328e-05, 'epoch': 3.11}
{'loss': 2.535, 'grad_norm': 3377770.25, 'learning_rate': 1.0637480798771122e-05, 'epoch': 3.15}
{'loss': 1.4851, 'grad_norm': 7285253.0, 'learning_rate': 1.0157450076804916e-05, 'epoch': 3.19}
{'loss': 0.9017, 'grad_norm': 958896.4375, 'learning_rate': 9.67741935483871e-06, 'epoch': 3.23}
{'loss': 0.8037, 'grad_norm': 335293.125, 'learning_rate': 9.197388632872505e-06, 'epoch': 3.26}
{'loss': 0.8295, 'grad_norm': 2545439.0, 'learning_rate': 8.717357910906299e-06, 'epoch': 3.3}
{'loss': 1.0945, 'grad_norm': 33138914.0, 'learning_rate': 8.237327188940093e-06, 'epoch': 3.34}
{'loss': 1.5484, 'grad_norm': 723148.4375, 'learning_rate': 7.757296466973887e-06, 'epoch': 3.38}
{'loss': 1.5675, 'grad_norm': 32.81526565551758, 'learning_rate': 7.27726574500768e-06, 'epoch': 3.42}
{'loss': 1.8292, 'grad_norm': 332298.375, 'learning_rate': 6.7972350230414745e-06, 'epoch': 3.46}
{'loss': 1.9913, 'grad_norm': 6224283.5, 'learning_rate': 6.317204301075269e-06, 'epoch': 3.49}
{'loss': 1.6431, 'grad_norm': 11961732.0, 'learning_rate': 5.837173579109064e-06, 'epoch': 3.53}
{'loss': 1.3756, 'grad_norm': 8740795.0, 'learning_rate': 5.357142857142857e-06, 'epoch': 3.57}
{'loss': 1.354, 'grad_norm': 18174272.0, 'learning_rate': 4.877112135176651e-06, 'epoch': 3.61}
{'loss': 1.371, 'grad_norm': 15836087.0, 'learning_rate': 4.397081413210446e-06, 'epoch': 3.65}
{'loss': 1.3981, 'grad_norm': 355618.625, 'learning_rate': 3.9170506912442395e-06, 'epoch': 3.69}
{'loss': 1.2871, 'grad_norm': 1752666.75, 'learning_rate': 3.4370199692780337e-06, 'epoch': 3.72}
{'loss': 1.2335, 'grad_norm': 8267936.5, 'learning_rate': 2.9569892473118283e-06, 'epoch': 3.76}
