## SLURM PROLOG ###############################################################
##    Job ID : 4844374
##  Job Name : bibm_ft
##  Nodelist : gpu3004
##      CPUs : 6
##  Mem/Node : 196608 MB
## Directory : /oscar/data/rsingh47/fperalta
##   Job Started : Tue Aug 11 11:55:25 PM EDT 2026
###############################################################################
re-equalizing groups to 47,790/group (pre: {'African': 48374, 'EastSEAsian': 51185, 'European': 47790, 'HispanicLatino': 49376, 'SouthAsian': 53275})
arm=matched train=238,950 val=47,801 labels=41 val_donors=211
{'loss': 3.2651, 'grad_norm': 4.67380952835083, 'learning_rate': 2.639614302932905e-05, 'epoch': 1.89}
{'loss': 3.2475, 'grad_norm': 5.2065815925598145, 'learning_rate': 2.5893933306548816e-05, 'epoch': 1.93}
{'loss': 3.2599, 'grad_norm': 4.445573806762695, 'learning_rate': 2.5391723583768584e-05, 'epoch': 1.97}
{'eval_loss': 3.185809850692749, 'eval_accuracy': 0.1251, 'eval_macro_f1': 0.005852111391268145, 'eval_runtime': 1194.5332, 'eval_samples_per_second': 25.114, 'eval_steps_per_second': 0.262, 'epoch': 2.0}
{'loss': 3.2526, 'grad_norm': 4.46483850479126, 'learning_rate': 2.4889513860988352e-05, 'epoch': 2.01}
{'loss': 3.2543, 'grad_norm': 5.1263885498046875, 'learning_rate': 2.4387304138208117e-05, 'epoch': 2.05}
{'loss': 3.2598, 'grad_norm': 4.228668689727783, 'learning_rate': 2.3885094415427885e-05, 'epoch': 2.09}
{'loss': 3.248, 'grad_norm': 5.691689491271973, 'learning_rate': 2.338288469264765e-05, 'epoch': 2.13}
{'loss': 3.2413, 'grad_norm': 5.621459007263184, 'learning_rate': 2.288067496986742e-05, 'epoch': 2.17}
{'loss': 3.2663, 'grad_norm': 6.045802593231201, 'learning_rate': 2.2378465247087185e-05, 'epoch': 2.21}
{'loss': 3.2495, 'grad_norm': 4.516899585723877, 'learning_rate': 2.1876255524306953e-05, 'epoch': 2.25}
{'loss': 3.2575, 'grad_norm': 4.407370090484619, 'learning_rate': 2.1374045801526718e-05, 'epoch': 2.29}
{'loss': 3.2558, 'grad_norm': 5.4579877853393555, 'learning_rate': 2.0871836078746485e-05, 'epoch': 2.33}
{'loss': 3.2589, 'grad_norm': 3.5130982398986816, 'learning_rate': 2.0369626355966253e-05, 'epoch': 2.37}
{'loss': 3.2475, 'grad_norm': 4.713524341583252, 'learning_rate': 1.986741663318602e-05, 'epoch': 2.41}
{'loss': 3.2498, 'grad_norm': 5.930552005767822, 'learning_rate': 1.9365206910405786e-05, 'epoch': 2.45}
{'loss': 3.2426, 'grad_norm': 5.1312079429626465, 'learning_rate': 1.8862997187625554e-05, 'epoch': 2.49}
{'loss': 3.2564, 'grad_norm': 5.38004732131958, 'learning_rate': 1.836078746484532e-05, 'epoch': 2.53}
{'loss': 3.2671, 'grad_norm': 5.910700798034668, 'learning_rate': 1.785857774206509e-05, 'epoch': 2.57}
{'loss': 3.2469, 'grad_norm': 4.806103706359863, 'learning_rate': 1.7356368019284854e-05, 'epoch': 2.61}
{'loss': 3.2562, 'grad_norm': 4.817368507385254, 'learning_rate': 1.6854158296504622e-05, 'epoch': 2.65}
{'loss': 3.2596, 'grad_norm': 5.683823585510254, 'learning_rate': 1.6351948573724387e-05, 'epoch': 2.69}
{'loss': 3.2428, 'grad_norm': 5.932263374328613, 'learning_rate': 1.5849738850944155e-05, 'epoch': 2.73}
{'loss': 3.2396, 'grad_norm': 4.063545227050781, 'learning_rate': 1.5347529128163923e-05, 'epoch': 2.77}
{'loss': 3.2465, 'grad_norm': 5.121608734130859, 'learning_rate': 1.4845319405383689e-05, 'epoch': 2.81}
{'loss': 3.2466, 'grad_norm': 4.5111613273620605, 'learning_rate': 1.4343109682603457e-05, 'epoch': 2.85}
{'loss': 3.2429, 'grad_norm': 5.494651794433594, 'learning_rate': 1.3840899959823223e-05, 'epoch': 2.89}
{'loss': 3.2564, 'grad_norm': 4.373287677764893, 'learning_rate': 1.333869023704299e-05, 'epoch': 2.93}
{'loss': 3.24, 'grad_norm': 5.465357303619385, 'learning_rate': 1.2836480514262757e-05, 'epoch': 2.97}
{'eval_loss': 3.186176061630249, 'eval_accuracy': 0.1251, 'eval_macro_f1': 0.005852111391268145, 'eval_runtime': 1197.7923, 'eval_samples_per_second': 25.046, 'eval_steps_per_second': 0.261, 'epoch': 3.0}
