checkpoint,overall_macro_f1,worst_class_acc,worst_group_f1
checkpoint-150,0.7265553547285102,0.0,0.7610669725089494
checkpoint-300,0.8775132580667971,0.4,0.8018137580181376
checkpoint-450,0.8557735457694435,0.2,0.8103776578863853
checkpoint-600,0.9125703834685528,0.6,0.8725208287252083
checkpoint-750,0.8476570802900338,0.2,0.7680709534368071
checkpoint-900,0.8722227306839261,0.2,0.8103776578863853
checkpoint-1050,0.8722227306839261,0.2,0.8103776578863853
checkpoint-1200,0.8780254613807246,0.2,0.818227899432279
