checkpoint,overall_macro_f1,worst_class_acc,worst_group_f1
checkpoint-150,0.8914938101677452,0.2,0.8186353829557712
checkpoint-300,0.8785826280738757,0.2,0.818227899432279
checkpoint-450,0.8726870159720925,0.2,0.818227899432279
checkpoint-600,0.890210528037689,0.2,0.8186353829557712
checkpoint-750,0.8642102849772293,0.2,0.8107851414098776
checkpoint-900,0.890210528037689,0.2,0.8186353829557712
checkpoint-1050,0.890210528037689,0.2,0.8186353829557712
checkpoint-1200,0.890210528037689,0.2,0.8186353829557712
