checkpoint,overall_macro_f1,worst_class_acc,worst_group_f1
checkpoint-110,0.35243214032022346,0.0,0.0
checkpoint-220,0.6288192157033238,0.0,0.10498855835240274
checkpoint-330,0.7484552687859504,0.0,0.15156363636363637
checkpoint-440,0.8247719926878416,0.07692307692307693,0.15156363636363637
checkpoint-550,0.8277843674165689,0.0,0.15156363636363637
checkpoint-660,0.8314134255304374,0.0,0.15156363636363637
checkpoint-770,0.8355123678910918,0.0,0.15156363636363637
checkpoint-880,0.8359339276622451,0.0,0.15156363636363637
