checkpoint,overall_macro_f1,worst_class_acc,worst_group_f1
checkpoint-46,0.37593449498208165,0.0,0.3843280101638764
checkpoint-92,0.5621369420320703,0.0,0.6539873092093982
checkpoint-138,0.6223701765858282,0.0,0.6494201825808043
checkpoint-184,0.6094141087182093,0.0,0.6530936763494903
checkpoint-230,0.6651018535194441,0.3333333333333333,0.7261595193517391
checkpoint-276,0.6665692105054153,0.3333333333333333,0.7312691947932659
checkpoint-322,0.6726710121164391,0.3333333333333333,0.741093188598953
checkpoint-360,0.6726710121164391,0.3333333333333333,0.741093188598953
